update,kind,reward,rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT
1,train,98.50010593120868,0.31574845676628094,295.0,590.0,13,0.16928112506866455,0.3385622501373291,3,2,0.15,0.33,5,5,6,5.5
2,train,94.49034294715294,0.29495955372292637,306.2307692307692,612.4615384615385,13,0.1569538116455078,0.3139076232910156,3,2,0.15,0.33,5,5,6,5.5
3,train,122.74847348531087,0.3625240076748735,327.5416666666667,655.0833333333334,12,0.18766756355762482,0.37533512711524963,3,2,0.15,0.33,5,5,6,5.5
4,train,174.821484375,0.43530604709506876,383.05,766.1,10,0.22500167787075043,0.45000335574150085,3,2,0.15,0.33,5,5,6,5.5
5,train,127.31546147664388,0.3617316152304302,333.6666666666667,667.3333333333334,12,0.192844420671463,0.385688841342926,3,2,0.15,0.33,5,5,6,5.5
5,eval,1259.6000244140625,3.1454424381256105,379.7,nan,1,nan,nan,3,2,0.15,0.33,5,5,6,5.5,eval
6,train,137.91672,0.3675085,366.5,733.0,11,0.18714401125907898,0.37428802251815796,3,2,0.15,0.33,5,5,6,5.5
7,train,163.66763000488282,0.39836838173238853,388.7,777.4,10,0.212643563747406,0.425287127494812,3,2,0.15,0.33,5,5,6,5.5
8,train,148.64806,0.39034444,364.2,728.4,10,0.2038358449935913,0.4076716899871826,3,2,0.15,0.33,5,5,6,5.5
9,train,128.63333071195163,0.39745346398105447,309.46153846153845,618.9230769230769,13,0.2094777226448059,0.4189554452896118,3,2,0.15,0.33,5,5,6,5.5
10,train,117.53149,0.35454342,317.4583333333333,634.9166666666666,12,0.18659324944019318,0.37318649888038635,3,2,0.15,0.33,5,5,6,5.5
10,eval,1628.5110961914063,3.554738426208496,428.6,nan,1,nan,nan,3,2,0.15,0.33,5,5,6,5.5,eval
11,train,181.68558,0.42643422,403.45,806.9,10,0.22580748796463013,0.45161497592926025,3,2,0.15,0.33,5,5,6,5.5
12,train,132.41899,0.3800535,332.6363636363636,665.2727272727273,11,0.2063072770833969,0.4126145541667938,3,2,0.15,0.33,5,5,6,5.5
13,train,119.1107,0.4023479,290.75,581.5,14,0.20513084530830383,0.41026169061660767,3,2,0.15,0.33,5,5,6,5.5
